id;identifier;name;type;description;total_value;show_accounts_in_chart
1;capacity pixel Baby;Comoro Franc Supervisor;EXPENSE;Illinois Intelligent Plastic Mouse Chief;18987;false
2;Metal Generic;GB paradigm Licensed;ASSET;lavender Sierra Leone object-oriented;75299;true
3;Reduced;orange Investment Account;ASSET;migration Frozen;26357;true
4;Car Lek;Gorgeous Iowa Decentralized;EQUITY;solutions;12975;true
5;Alabama index;copy Business-focused;LIABILITY;Business-focused Handmade Metal Hat Dynamic;42802;false
6;Customer;frictionless;ASSET;Investment Account Italy;92639;true
7;intermediate Tugrik;Infrastructure JSON;EQUITY;Savings Account holistic;58381;false
8;Mobility;syndicate Swedish Krona Division;ASSET;Product Missouri;69640;false
9;Creative;Alabama;EQUITY;Borders turn-key National;84335;true
10;overriding Metrics;Assistant New Israeli Sheqel Handcrafted Metal Ball;REVENUE;Home parsing;88897;true
