id;action;comment;occured_at
1;REOPEN;Games Outdoors Forward;2020-08-17T14:58:58
2;UNLOCK;plug-and-play;2020-08-17T20:01:44
3;REOPEN;Bedfordshire redundant;2020-08-17T23:36:54
4;UNLOCK;RAM Checking Account Credit Card Account;2020-08-18T11:10:06
5;UNLOCK;innovative solid state Garden;2020-08-17T18:48:40
6;LOCK;Handmade Rubber Car Savings Account;2020-08-18T03:54:46
7;CLOSE;Illinois Open-source deposit;2020-08-17T17:11:51
8;UNLOCK;Frozen Parks;2020-08-18T04:29:38
9;REOPEN;FTP North Carolina;2020-08-18T08:08:49
10;REOPEN;EXE Steel;2020-08-17T20:30:20
