id;identifier;name;type;description;total_value;show_accounts_in_chart
1;white Rhode Island;Customer Direct;Ergonomic Rustic Adaptive;neutral invoice;3551;false
2;Functionality productivity;withdrawal didactic Sports;Diverse;Electronics evolve;78998;true
3;migration;Small Rubber Sausages;Books Beauty;Belize Dollar Electronics azure;73995;true
4;Bedfordshire Sleek;circuit;architectures;Ports;85111;false
5;mint green;Reduced leading edge;Solomon Islands JBOD Tasty Fresh Towels;methodology bluetooth;34972;false
6;Concrete reinvent;Future platforms Awesome Cotton Pants;Future Divide Unbranded Concrete Mouse;Sleek Future-proofed Montana;72624;true
7;Synergistic Borders;bluetooth Center;program;Electronics cyan middleware;41540;true
8;relationships Idaho;Plains vertical;deposit North Carolina;24/365 zero tolerance Borders;61456;false
9;CFP Franc;Cape Verde Escudo;compress;Sleek Plastic Cheese Vatu Decentralized;85016;false
10;extensible haptic;Incredible Intelligent withdrawal;firewall open system virtual;Mouse;89822;false
